transaction_id,user_id,transaction_amount,transaction_location,merchant_id,transaction_time,device_type,previous_transactions,failed_transactions,account_age_days,user_credit_score,is_foreign_transaction,is_high_risk_country,is_vpn_used,merchant_category,transaction_channel,user_income,is_account_compromised,user_location,is_fraud
32,6333,6394.41,CA,402,1673,desktop,83,45,2038,559,1,1,0,entertainment,online,81973.52,0,CA,1
33,9053,3831.77,GA,889,1749,tablet,44,25,2671,496,0,1,0,entertainment,mobile,112489.16,1,CA,0
34,2986,7985.32,MI,921,539,desktop,1,1,1886,580,0,0,1,grocery,in-store,99684.33,1,FL,1
35,5231,3526.52,NY,338,1228,tablet,34,25,476,580,1,1,0,entertainment,in-store,72531.65,1,CA,1
36,1660,7948.7,TX,895,778,tablet,99,15,472,318,0,1,1,entertainment,in-store,166470.39,1,GA,1
37,4890,2458.84,MI,432,1939,mobile,17,12,3372,622,1,1,0,electronics,in-store,107999.57,0,IL,1
38,7757,3542.58,TX,505,1708,mobile,30,3,193,436,1,0,1,grocery,mobile,39357.53,1,WA,0
39,4301,5124.83,MI,980,244,mobile,9,2,374,486,0,0,1,grocery,online,104902.39,1,OH,1
40,9131,3672.21,WA,192,885,desktop,63,27,1379,786,0,1,0,electronics,in-store,65320.26,1,IL,0
41,2412,8603.88,FL,771,2220,mobile,9,3,3084,672,1,0,0,grocery,in-store,88386.93,1,NY,0
42,9516,5545.22,NY,794,1538,desktop,48,1,3229,447,1,1,0,entertainment,mobile,91349.95,1,IL,1
43,1886,6337.31,OH,790,503,tablet,73,41,2077,524,1,0,0,grocery,mobile,118027.91,1,WA,0
44,2616,8040.24,MI,376,1401,mobile,57,53,1987,348,1,1,1,retail,online,167266.38,1,TX,1
45,1631,626.74,MI,144,209,tablet,23,9,2353,395,0,1,1,entertainment,in-store,73288.43,1,MI,0
46,9997,5295.15,GA,297,474,tablet,69,16,2262,778,1,1,0,electronics,online,191974.36,0,WA,1
47,6093,3395.93,WA,434,990,mobile,84,31,1589,377,1,0,0,electronics,online,33184.69,0,WA,0
48,8968,4896.03,NV,197,793,mobile,14,5,674,370,0,1,1,grocery,mobile,83203.52,1,MI,0
49,1279,980.85,IL,285,2181,mobile,14,9,2900,616,1,1,1,grocery,in-store,90620.16,1,IL,1
50,9196,7340.5,GA,252,460,desktop,64,8,1588,781,0,1,0,retail,mobile,23833.04,0,CA,0
51,7144,827.68,NY,722,984,tablet,97,92,3526,651,0,0,1,grocery,mobile,78630.32,1,IL,0
52,8833,8182.47,WA,745,2277,tablet,7,6,439,645,1,0,0,grocery,in-store,104022.94,0,FL,0
53,6691,1349.9,GA,224,789,mobile,78,35,554,656,1,0,1,retail,mobile,140054.85,1,MI,0
54,9681,4831.21,WA,664,1694,mobile,45,44,2715,540,1,1,1,entertainment,online,71775.44,0,TX,1
55,4341,9491.29,FL,844,2324,tablet,58,54,2786,521,0,0,1,entertainment,online,150482.33,0,IL,1
56,4981,3673.07,NY,411,1332,desktop,19,10,81,765,0,1,1,retail,mobile,173470.76,1,MI,0
57,3760,1374.9,TX,680,2076,tablet,45,21,2646,571,1,1,0,retail,online,31007.44,1,TX,1
58,6920,2549.06,GA,647,1963,desktop,27,12,1458,393,1,0,0,grocery,mobile,178749.88,0,MI,0
59,2403,5911.77,FL,724,1797,mobile,49,45,3487,561,0,1,1,electronics,mobile,59143.86,1,FL,1
60,8838,9997.02,NY,667,532,tablet,47,34,337,559,0,0,1,electronics,online,123500.01,0,WA,1
61,9004,4287.7,NY,561,1383,tablet,71,54,319,682,0,0,0,travel,online,37910.6,0,CA,0
62,6956,8621.98,TX,955,1566,mobile,29,21,1397,564,1,1,0,travel,in-store,56930.62,0,OH,1
63,7120,3426.46,IL,531,2187,mobile,81,37,1296,536,1,1,1,travel,online,169049.34,0,NV,1
64,2364,6053.21,NY,483,299,mobile,30,9,422,785,0,1,1,grocery,in-store,145611.36,0,WA,1
65,9587,3536.71,GA,825,442,mobile,65,21,1057,818,1,1,1,travel,online,171798.66,0,IL,1
66,4416,9923.98,NY,901,2106,tablet,97,49,2700,374,1,1,0,retail,in-store,198980.2,1,NY,1
67,3956,7802.17,WA,961,704,mobile,92,20,2906,487,1,1,1,grocery,mobile,61184.63,1,MI,1
68,3941,7294.01,WA,772,760,tablet,28,1,636,547,0,1,0,retail,mobile,182765.12,1,FL,0
69,6423,8025.87,IL,154,419,mobile,69,28,1626,554,1,0,1,retail,in-store,196210.68,1,NV,1
70,1192,4272.31,CA,132,1841,tablet,11,9,2625,445,1,0,1,travel,mobile,34353.59,0,TX,0
71,1016,4052.26,MI,829,417,desktop,13,6,571,572,0,0,0,entertainment,online,75478.12,1,CA,1
72,2895,7675.19,WA,430,501,mobile,56,8,3336,400,0,0,1,grocery,online,134283.01,0,GA,1
73,8456,885.65,OH,270,1704,mobile,67,22,110,426,0,1,1,electronics,in-store,61300.9,0,GA,0
74,6172,656.63,NY,163,1894,tablet,2,2,3003,328,0,0,1,grocery,in-store,55199.24,0,IL,0
75,1305,8340.46,WA,542,309,mobile,49,29,3209,711,0,1,0,electronics,mobile,137971.46,1,WA,0
76,7232,895.38,NY,383,845,tablet,20,19,251,559,1,0,0,retail,online,34999.75,1,CA,1
77,7621,4455.7,TX,227,502,mobile,96,12,3438,560,1,1,1,electronics,online,35384.84,1,CA,1
78,3870,6374.66,NV,119,1506,desktop,18,18,607,609,1,1,0,retail,mobile,23976.88,1,GA,1
79,4164,5624.57,OH,713,1332,mobile,12,4,604,528,1,1,1,retail,mobile,167576.3,1,GA,1
80,6767,5112.04,OH,374,79,mobile,52,41,10,814,1,0,0,entertainment,in-store,30992.05,0,CA,0
81,8507,1819.75,CA,585,2085,desktop,63,18,2069,446,1,0,0,grocery,online,78223.47,1,WA,1
82,6755,85.44,WA,745,1186,mobile,71,33,1927,680,1,0,0,travel,in-store,198760.95,1,MI,0
83,5584,6959.24,NV,715,2319,tablet,29,2,2313,822,0,0,0,retail,online,190183.21,1,MI,1
84,1681,5898.23,IL,506,90,desktop,68,28,1165,313,1,1,1,electronics,mobile,195562.35,1,NY,1
85,3978,9230.57,IL,694,1431,mobile,46,24,2226,811,0,0,1,electronics,in-store,124814.23,0,WA,1
86,8699,5430.86,CA,724,1593,mobile,30,9,594,312,0,0,0,travel,online,108837.89,0,OH,0
87,7049,2651.99,WA,867,987,tablet,24,3,2449,521,0,1,0,electronics,in-store,132986.37,1,NY,0
88,3914,2391.79,TX,768,452,desktop,43,6,278,485,0,0,1,electronics,online,85632.87,0,WA,0
89,7698,6255.24,WA,402,2157,mobile,30,12,1826,500,0,0,1,electronics,mobile,103208.95,0,NY,1
90,5019,8642.52,NY,455,295,tablet,17,12,1248,643,1,0,0,travel,in-store,105958.39,0,WA,0
91,8420,5217.23,NV,472,1903,tablet,23,18,2155,570,0,0,1,electronics,mobile,118956.26,1,GA,1
92,1910,2899.19,CA,854,1238,tablet,11,4,923,689,0,0,1,electronics,in-store,20990.32,0,NV,0
93,7909,6332.4,GA,354,1546,desktop,71,20,2541,302,1,1,1,travel,online,126204.26,1,MI,1
94,4807,4678.89,TX,586,1221,tablet,36,24,2490,384,0,1,0,grocery,online,62458.26,1,CA,1
95,8635,3593.92,IL,166,1334,mobile,22,13,3185,536,0,0,0,grocery,in-store,105582.4,0,IL,0
96,7169,2999.93,WA,165,642,mobile,87,7,2861,488,1,1,1,entertainment,online,136636.54,1,NY,1
97,5848,6944.41,FL,352,911,mobile,93,1,3228,497,0,1,0,retail,online,67929.2,0,CA,0
98,1832,7715.95,NY,806,1235,desktop,54,7,1019,457,1,1,0,entertainment,mobile,63331.94,0,NV,1
99,7206,9604.72,GA,594,1638,mobile,77,27,2399,722,1,0,0,entertainment,in-store,121854.13,0,OH,0
100,1257,311.04,MI,369,1643,tablet,32,20,986,597,0,0,1,grocery,mobile,66649.88,0,FL,0
101,1194,4308.66,NY,231,1516,mobile,94,69,178,791,0,0,0,electronics,in-store,193436.51,1,FL,0
102,8083,5184.01,IL,977,1211,mobile,38,9,2630,820,0,1,1,electronics,in-store,52140.08,1,WA,1
103,6222,8225.24,IL,282,2100,tablet,87,52,426,397,1,1,1,entertainment,mobile,118707.97,1,OH,1
104,8712,2703.62,NV,419,814,tablet,83,61,444,785,0,0,1,entertainment,online,85296.07,0,OH,0
105,2721,6318.55,OH,723,729,mobile,58,15,1177,715,0,1,1,grocery,in-store,190326.3,1,WA,1
106,9982,5618.01,NY,975,292,tablet,67,44,3436,496,1,0,0,electronics,online,62498.45,0,GA,0
107,5011,2252.06,FL,795,799,mobile,11,0,937,695,0,0,0,retail,in-store,193238.91,1,NV,0
108,2270,6936.85,OH,730,1923,desktop,91,28,2149,318,0,1,0,grocery,mobile,74989.43,1,NY,0
109,4582,311.25,GA,153,2172,desktop,41,10,1363,354,0,1,0,grocery,online,64950.17,1,FL,1
110,8699,9604.18,MI,110,1718,desktop,41,8,2945,730,1,1,1,entertainment,mobile,103764.07,0,FL,1
111,2939,2675.0,WA,267,928,tablet,21,12,1731,694,0,0,1,travel,mobile,94211.43,0,NV,0
112,4579,8595.54,IL,130,370,desktop,66,40,521,389,0,0,0,electronics,mobile,193989.98,0,CA,0
113,4929,1266.66,GA,575,951,desktop,25,15,2021,532,1,1,0,entertainment,online,169079.84,0,NY,1
114,1781,9775.69,OH,506,1078,mobile,67,51,1264,497,1,0,0,electronics,mobile,84086.24,0,TX,0
115,1639,1782.13,FL,906,2041,mobile,15,8,2231,339,1,0,0,retail,online,192109.03,1,MI,1
116,2296,3739.79,CA,767,736,tablet,40,10,1691,516,0,0,0,electronics,in-store,147583.52,1,FL,0
117,6433,1837.73,FL,621,2246,mobile,43,30,2014,366,1,1,0,travel,mobile,170731.92,1,WA,1
118,9976,4113.14,IL,742,2049,mobile,90,54,712,816,0,0,0,travel,in-store,136290.76,1,TX,0
119,8494,3946.18,WA,826,1423,desktop,99,50,1990,361,1,1,1,grocery,in-store,27628.88,0,NV,1
120,7845,4232.69,FL,821,1818,mobile,90,8,2939,404,1,1,0,travel,online,146871.39,1,OH,1
121,7422,9724.26,IL,913,1868,desktop,11,0,1730,496,1,0,0,retail,in-store,144515.72,1,NY,0
122,3940,4725.94,GA,271,419,desktop,29,29,2936,594,1,0,0,entertainment,mobile,68273.12,0,NV,0
123,2891,6130.62,GA,122,142,desktop,4,4,332,364,0,0,1,travel,online,75073.3,0,OH,1
124,9606,3876.97,GA,791,541,tablet,67,32,3371,398,0,0,1,retail,mobile,121003.38,0,OH,0
125,9374,7895.69,MI,502,1838,desktop,49,43,2176,677,0,1,1,entertainment,mobile,105129.5,0,NY,1
126,1251,7060.7,NV,422,400,mobile,75,45,634,688,1,1,0,grocery,in-store,167824.18,1,NV,1
127,3665,6839.33,WA,603,1848,tablet,38,34,2870,524,1,1,0,retail,online,105390.14,0,WA,1
128,4812,7660.25,MI,924,2355,mobile,27,8,3289,772,1,0,1,electronics,mobile,47810.35,1,NV,1
129,8707,5103.79,TX,896,2039,mobile,91,68,1485,654,1,1,0,grocery,in-store,147772.17,0,FL,1
130,1934,5913.88,OH,875,778,mobile,8,7,3042,652,1,1,0,entertainment,in-store,92535.9,1,WA,1
131,1777,4084.83,NV,990,1883,mobile,77,75,2030,663,1,1,1,electronics,in-store,131104.75,0,NV,1
132,1387,7569.8,FL,704,322,tablet,11,6,2703,800,0,1,0,retail,online,197726.34,1,NV,1
133,6747,9722.61,WA,499,378,tablet,92,90,809,684,1,0,0,grocery,in-store,104480.86,0,WA,0
134,6731,7159.49,MI,829,1327,mobile,1,0,1759,331,0,1,1,retail,online,123764.56,1,IL,1
135,7433,8716.56,GA,845,870,desktop,34,34,3323,673,1,0,0,grocery,online,133050.34,0,MI,0
136,9940,6237.72,MI,964,623,tablet,44,14,1587,834,1,1,1,retail,mobile,120224.51,1,GA,1
137,1596,6154.63,WA,168,878,tablet,82,69,2994,624,0,1,1,travel,online,79137.72,0,NY,1
138,5789,3940.47,GA,186,548,tablet,79,23,1739,697,1,0,1,retail,in-store,112057.85,0,NY,0
139,2402,6850.65,GA,404,41,tablet,72,6,2485,304,0,1,1,travel,mobile,199866.94,0,TX,1
140,1288,6484.14,FL,846,866,tablet,64,59,1006,631,0,0,1,retail,in-store,70820.66,1,WA,1
141,3310,6065.37,GA,287,1212,desktop,38,17,1074,707,1,0,0,grocery,online,46199.31,0,IL,0
142,1027,9697.18,TX,733,1554,mobile,98,6,2020,793,1,1,1,entertainment,mobile,147790.8,0,NV,1
143,7017,7601.84,MI,337,1271,mobile,65,42,318,723,1,0,0,entertainment,in-store,190298.57,0,TX,0
144,4088,7503.11,NV,484,813,mobile,35,6,2717,783,0,0,0,electronics,online,58476.14,1,MI,1
145,5216,9483.14,OH,641,1050,tablet,65,0,563,437,0,1,0,electronics,mobile,78648.43,1,FL,0
146,4635,3676.09,NV,921,2114,tablet,71,48,1833,657,1,0,1,electronics,online,188089.85,1,FL,1
147,4943,857.74,TX,617,219,mobile,52,30,331,332,1,1,0,grocery,in-store,159867.4,0,CA,1
148,9975,5462.68,CA,785,1852,mobile,79,55,443,510,1,0,0,retail,online,146712.7,1,OH,1
149,2481,1010.32,MI,152,122,mobile,17,11,2796,434,1,0,0,entertainment,in-store,165806.95,0,TX,0
150,5916,7097.94,GA,699,1831,desktop,38,20,201,698,0,0,1,grocery,online,93985.2,1,WA,1
151,4958,9965.86,MI,176,2255,desktop,22,19,1075,619,0,0,0,retail,online,126484.07,0,OH,0
152,9621,4859.68,WA,919,1107,tablet,93,0,3602,320,1,0,0,grocery,mobile,52882.62,0,GA,0
153,4094,5438.33,TX,245,1520,desktop,14,12,1234,775,1,1,0,travel,mobile,25218.43,0,TX,1
154,5202,7791.03,NY,900,1665,mobile,49,40,1078,632,0,0,1,electronics,mobile,51748.14,1,MI,1
155,8994,2676.56,GA,787,2270,mobile,57,48,533,455,1,1,0,electronics,online,183635.2,1,NY,1
156,7075,338.24,GA,192,1177,mobile,4,1,2036,573,0,0,0,retail,in-store,188391.6,1,IL,0
157,8095,3510.44,IL,819,971,mobile,44,6,663,472,1,1,0,travel,in-store,48114.5,0,TX,1
158,3620,6415.81,WA,933,960,desktop,66,2,3507,372,1,0,0,electronics,in-store,165751.85,0,GA,0
159,3139,3690.85,TX,357,1076,mobile,20,8,3212,507,1,0,1,entertainment,in-store,116141.25,1,NV,0
160,3296,398.41,TX,822,613,desktop,87,45,44,408,1,0,1,electronics,in-store,190419.75,1,IL,0
161,1767,2166.44,NY,192,551,mobile,45,23,1505,621,0,0,1,electronics,mobile,139589.1,1,CA,0
162,7270,5462.01,IL,876,163,mobile,38,1,334,513,0,0,0,retail,in-store,143439.37,1,GA,0
163,2921,1279.15,NV,917,812,tablet,65,23,3594,582,0,1,0,travel,mobile,178108.76,0,GA,0
164,9959,5487.73,GA,639,1271,tablet,36,19,122,472,0,0,0,electronics,mobile,112614.96,0,WA,0
165,2702,9231.56,WA,288,700,mobile,46,30,72,834,1,1,0,grocery,in-store,196354.39,1,NV,1
166,6459,6738.26,CA,251,1767,tablet,36,0,801,491,0,1,0,grocery,mobile,143249.41,0,NY,0
167,8064,9971.92,TX,769,1914,desktop,40,29,458,726,0,1,1,entertainment,online,174549.45,0,IL,1
168,1490,9405.03,NY,239,321,mobile,4,1,944,799,0,1,1,travel,online,143628.05,1,TX,1
169,4103,8251.45,FL,693,1671,desktop,9,2,3522,695,0,0,1,grocery,online,139228.91,0,IL,1
170,4003,9679.53,MI,431,886,mobile,92,22,961,790,1,1,0,grocery,online,136741.97,0,CA,1
171,2835,5007.01,MI,461,355,mobile,83,1,2836,576,0,1,0,grocery,mobile,115727.84,1,NV,0
172,8216,479.12,GA,937,1896,desktop,88,23,2637,374,0,0,1,grocery,in-store,120497.55,0,TX,0
173,2070,6097.37,MI,286,1648,mobile,35,0,748,445,1,1,1,electronics,online,81370.08,0,MI,1
174,8846,6442.4,CA,844,1198,desktop,98,24,2011,418,1,1,0,travel,in-store,196735.77,1,FL,1
175,3086,2197.5,MI,801,38,desktop,33,18,3202,698,1,1,1,travel,mobile,24152.15,0,TX,1
176,4625,8982.15,OH,822,1241,mobile,1,0,1064,601,0,1,0,retail,online,129358.18,0,OH,0
177,1417,2621.87,FL,769,1279,mobile,17,14,3231,821,1,1,1,grocery,in-store,184243.25,0,WA,1
178,3667,4307.32,NY,777,2011,mobile,1,1,3079,755,1,0,1,grocery,in-store,86405.28,1,CA,0
179,8546,9682.94,WA,648,301,desktop,66,66,2275,701,0,0,0,entertainment,in-store,199520.71,0,GA,0
180,3157,2641.55,NV,711,192,desktop,58,36,3405,510,0,0,0,retail,mobile,92821.35,0,FL,0
181,3358,5656.05,CA,718,1530,mobile,76,34,1262,360,1,1,1,retail,mobile,67256.76,1,GA,1
182,1574,4621.48,TX,407,1067,mobile,90,74,66,734,0,0,0,entertainment,mobile,188604.11,1,CA,0
183,3802,8247.23,IL,774,772,mobile,47,20,1259,631,0,1,1,entertainment,mobile,57912.49,1,NV,1
184,4131,9280.81,NV,580,2088,tablet,36,12,833,832,0,0,1,electronics,online,155150.59,1,CA,1
185,8628,9186.49,OH,501,2019,mobile,76,45,3191,505,0,0,1,retail,mobile,61533.22,1,WA,1
186,8613,9851.87,FL,309,1308,mobile,50,30,3051,398,1,1,0,grocery,in-store,25279.92,1,OH,1
187,3614,7158.67,CA,842,1710,tablet,92,44,510,580,1,0,0,retail,online,160064.73,1,TX,1
188,9814,9320.25,GA,552,1357,mobile,33,25,6,726,0,0,0,entertainment,in-store,37401.41,1,OH,0
189,5573,8676.06,TX,381,1126,tablet,91,21,2517,402,1,1,0,electronics,in-store,167459.21,1,CA,1
190,3808,158.47,OH,658,758,desktop,19,8,3302,481,0,1,1,grocery,mobile,60879.58,1,MI,0
191,6327,479.47,FL,614,2354,tablet,17,3,80,541,1,0,1,travel,in-store,131537.31,1,WA,0
192,6614,9576.31,GA,555,192,tablet,46,4,2711,553,1,0,0,electronics,mobile,149571.16,1,NV,0
193,1934,4735.13,IL,503,1082,desktop,53,39,3416,777,0,1,1,grocery,mobile,191275.73,1,CA,0
194,6486,5023.04,WA,343,379,desktop,63,54,2094,386,0,1,1,entertainment,online,60953.28,0,FL,1
195,8856,1042.62,NV,754,452,desktop,23,16,1584,443,1,0,1,entertainment,online,86539.33,1,CA,1
196,3752,1944.47,TX,741,37,desktop,6,5,632,681,0,1,1,travel,in-store,23956.48,1,WA,0
197,1997,9432.64,CA,375,1473,mobile,21,21,1630,610,1,0,0,entertainment,online,155660.79,1,WA,1
198,4568,1372.02,OH,715,1783,desktop,82,47,2680,390,1,1,0,electronics,in-store,183714.29,1,NV,1
199,4392,1090.45,MI,648,2316,mobile,6,6,3130,609,1,0,1,electronics,mobile,75894.14,1,NV,0
200,2057,7266.29,MI,119,1819,mobile,23,13,1607,540,1,1,0,retail,mobile,183792.79,1,NV,1
201,3546,6434.06,NV,821,141,desktop,36,5,374,752,0,1,1,electronics,online,199680.09,0,IL,1
202,4403,5217.94,MI,733,2109,mobile,43,6,2823,824,0,0,0,grocery,in-store,34695.66,0,FL,0
203,4592,8622.4,GA,113,570,mobile,70,4,2603,700,1,0,1,entertainment,mobile,166954.48,1,MI,1
204,6571,2177.44,IL,685,57,desktop,7,3,1871,548,1,1,0,entertainment,online,197701.82,1,NY,1
205,2167,1431.26,OH,273,316,desktop,44,2,3142,785,0,0,1,travel,online,131627.46,1,NV,1
206,8550,2390.96,MI,229,467,desktop,59,43,35,488,1,0,1,electronics,online,40090.97,1,NV,1
207,6410,2763.41,CA,589,124,tablet,91,10,3277,560,0,1,0,electronics,online,41243.56,0,IL,0
208,2396,7955.02,GA,387,266,tablet,18,16,765,490,0,1,1,retail,mobile,150684.54,0,CA,1
209,8229,2728.84,NV,598,2063,desktop,80,71,1583,463,1,0,1,grocery,online,170515.48,1,NY,1
210,4213,4414.71,WA,453,1670,tablet,10,2,489,301,0,1,1,travel,in-store,76479.28,1,OH,0
211,2355,2449.84,OH,925,353,desktop,29,16,2932,431,0,0,0,travel,mobile,32574.22,1,WA,0
212,5184,7187.52,WA,649,743,desktop,0,0,1697,481,0,1,0,retail,in-store,97997.34,0,IL,0
213,2294,5659.67,MI,718,1013,mobile,41,20,2105,558,1,0,1,entertainment,mobile,157721.54,0,WA,1
214,3209,7635.26,NY,651,480,mobile,28,9,1830,812,1,0,1,travel,online,126214.42,0,IL,1
215,2017,9564.66,WA,393,976,mobile,93,16,2441,682,1,0,0,travel,in-store,131291.42,1,OH,0
216,8854,6964.15,MI,972,907,mobile,15,15,1332,703,1,0,1,retail,online,118953.14,0,CA,1
217,4405,459.95,OH,715,1512,tablet,79,19,2029,313,1,0,1,electronics,in-store,75331.96,0,MI,0
218,3125,2513.05,CA,128,1357,tablet,81,41,3351,577,0,0,1,electronics,mobile,150066.63,0,WA,0
219,9763,3964.67,MI,590,1299,mobile,92,82,1701,664,1,0,0,retail,mobile,132949.75,1,IL,0
220,4085,2127.19,CA,726,174,mobile,86,14,1688,428,1,1,1,travel,online,44535.37,1,CA,1
221,9643,333.37,IL,635,1864,desktop,50,50,174,676,0,0,0,entertainment,mobile,106021.83,1,CA,0
222,5962,9989.33,OH,326,2309,mobile,1,1,388,674,1,0,1,electronics,mobile,56381.0,1,GA,1
223,6144,2510.67,IL,614,2227,tablet,83,48,2714,782,0,1,0,retail,in-store,95213.08,0,TX,0
224,9848,5971.25,IL,708,2109,tablet,38,11,3418,679,0,0,0,travel,online,145449.74,0,GA,0
225,1117,8909.41,CA,625,934,mobile,22,5,3525,726,0,0,1,electronics,mobile,51339.74,0,MI,1
226,1855,4067.46,CA,990,1663,mobile,33,33,2205,655,0,0,0,entertainment,online,179732.49,1,IL,1
227,5243,6347.37,CA,813,1515,mobile,20,9,2490,342,1,0,1,retail,mobile,139729.32,1,MI,1
228,4625,5333.14,GA,405,1767,mobile,7,0,1586,433,1,1,1,retail,mobile,27615.19,0,IL,1
229,4119,8336.64,NV,241,1071,desktop,34,0,738,670,1,0,0,entertainment,in-store,104661.26,1,MI,0
230,2174,8057.17,OH,912,1769,tablet,71,51,2672,781,1,0,1,travel,in-store,43248.96,0,GA,1
231,6467,6618.33,MI,909,2180,desktop,99,78,3276,586,1,1,0,travel,mobile,61217.33,1,NV,1
232,5315,2464.49,NV,633,1442,desktop,78,35,1410,313,1,1,0,electronics,online,111584.38,1,GA,1
233,1454,7611.8,IL,203,1935,tablet,74,72,3542,722,1,1,1,grocery,online,101178.34,0,CA,1
234,4997,5822.84,WA,171,1225,desktop,71,57,3031,484,0,1,1,grocery,online,110718.1,1,NY,1
235,4763,1859.94,FL,314,454,desktop,52,9,1398,458,0,1,1,travel,mobile,173289.94,1,GA,0
236,9152,906.79,GA,832,233,desktop,55,55,1591,532,0,1,0,grocery,mobile,63091.51,1,IL,0
237,2000,3270.34,NV,882,273,mobile,88,86,3547,397,0,1,1,grocery,in-store,135345.53,0,GA,0
238,5478,6258.5,CA,410,646,desktop,35,14,568,544,1,1,1,entertainment,in-store,87773.67,0,IL,1
239,1078,5076.79,NY,113,1829,desktop,7,7,857,697,0,1,0,electronics,mobile,85206.94,0,IL,0
240,8352,3186.36,NY,548,1537,mobile,46,41,170,456,1,0,0,entertainment,online,20037.96,1,TX,1
241,9113,5905.39,TX,942,2241,mobile,70,52,3485,571,1,1,1,entertainment,in-store,23021.82,1,WA,1
242,1523,938.62,OH,290,1256,mobile,9,0,171,500,1,1,0,travel,mobile,165038.55,1,NV,1
243,3013,1384.3,GA,475,1052,desktop,21,0,1345,422,0,1,0,electronics,online,189124.68,0,IL,0
244,7761,6971.18,TX,757,462,mobile,57,12,2592,376,0,1,0,grocery,online,172753.92,1,FL,1
245,9999,1277.91,OH,163,479,mobile,5,3,2113,574,0,1,1,electronics,in-store,193273.97,1,GA,0
246,8587,8873.96,MI,754,876,mobile,80,29,3320,471,0,1,1,electronics,online,194545.59,0,TX,1
247,1938,5361.54,OH,556,2349,tablet,61,12,1642,662,0,0,1,retail,online,173974.75,0,MI,1
